画面名 (JP),API List,Business Flow,Giải thích tính năng,Menu,Remark ,Screen (VI),Screen ID,Status,Sub menu,System,Thông tin hiển thị trên màn hình,URL,Wireframe list,サブメニュー,システム,メニュー,機能説明,画面表示情報
契約終了,MO-CON-007-API-01-Get Contract End (https://www.notion.so/MO-CON-007-API-01-Get-Contract-End-36bf02c407dd8029aca6febfcd6ff789?pvs=21),,Kết thúc contract,Contract Management,,Contract End,MO-CON-007,Not started,,MOTO Portal,"End reason, end date, pending attendance, final billing",/moto/contracts/:id/end,,,派遣元ポータル,契約管理,契約終了処理を行う,終了理由、終了日、未承認勤怠、最終請求
契約アップロード,"MO-CON-008-API-01-Upload Contract Upload (https://www.notion.so/MO-CON-008-API-01-Upload-Contract-Upload-36bf02c407dd80188c87cfb5c7c3f251?pvs=21), MO-CON-008-API-02-Get Upload Result (https://www.notion.so/MO-CON-008-API-02-Get-Upload-Result-36bf02c407dd8079a8e9f9ad1360e2b0?pvs=21)","Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 契約作成フロー (https://www.notion.so/362f02c407dd80f3a10cfe645cd590f4?pvs=21)",Upload contract hàng loạt,Contract Management,,Contract Upload,MO-CON-008,Not started,,MOTO Portal,"Upload file, validation result, import result",/moto/contracts/upload,,,派遣元ポータル,契約管理,契約情報を一括アップロードする,アップロードファイル、検証結果、取込結果
勤怠TOP,MO-ATT-001-API-01-Get Attendance Dashboard (https://www.notion.so/MO-ATT-001-API-01-Get-Attendance-Dashboard-36bf02c407dd8002b5a3c3878e572d78?pvs=21),,Dashboard attendance tổng hợp,Attendance Management,,Attendance Dashboard,MO-ATT-001,Not started,,MOTO Portal,"Pending attendance, OT alert, monthly working hours",/moto/attendance,Untitled (https://www.notion.so/374f02c407dd800b8c97f9afb234ce2b?pvs=21),,派遣元ポータル,勤怠管理,勤怠管理ダッシュボードを表示する,未申請件数、残業アラート、月間労働時間
勤怠検索,MO-ATT-002-API-01-Get Attendance Search (https://www.notion.so/MO-ATT-002-API-01-Get-Attendance-Search-36bf02c407dd80c285aee6d6ac56d63a?pvs=21),,Search attendance,Attendance Management,,Attendance Search,MO-ATT-002,Not started,,MOTO Portal,"Staff, work date, check-in/out, approval status",/moto/attendance/search,,,派遣元ポータル,勤怠管理,勤怠情報を検索する,スタッフ、勤務日、出退勤時間、承認状態
勤怠詳細,MO-ATT-003-API-01-Get Attendance Detail (https://www.notion.so/MO-ATT-003-API-01-Get-Attendance-Detail-36bf02c407dd80289fc3da57bde84361?pvs=21),,Xem chi tiết attendance,Attendance Management,,Attendance Detail,MO-ATT-003,Not started,,MOTO Portal,"Break time, overtime, notes, approval history",/moto/attendance/:id,Untitled (https://www.notion.so/374f02c407dd800b8c97f9afb234ce2b?pvs=21),,派遣元ポータル,勤怠管理,勤怠詳細を表示する,休憩時間、残業時間、備考、承認履歴
代理申請,MO-ATT-004-API-01-Submit/Process Proxy Attendance (https://www.notion.so/MO-ATT-004-API-01-Submit-Process-Proxy-Attendance-36bf02c407dd809cbed4cb8646af6880?pvs=21),,Nhập attendance thay staff,Attendance Management,,Proxy Attendance,MO-ATT-004,Not started,,MOTO Portal,"Target staff, work date, proxy user",/moto/attendance/proxy,,,派遣元ポータル,勤怠管理,代理勤怠申請を行う,対象スタッフ、勤務日、代理入力者
未申請一覧,MO-ATT-005-API-01-Submit/Process Pending Attendance List (https://www.notion.so/MO-ATT-005-API-01-Submit-Process-Pending-Attendance-List-36bf02c407dd8059bec1ce77058fe878?pvs=21),,Danh sách attendance chưa submit,Attendance Management,,Pending Attendance List,MO-ATT-005,Not started,,MOTO Portal,"Missing attendance staff, missing date, reminder status",/moto/attendance/pending,,,派遣元ポータル,勤怠管理,未申請勤怠一覧を表示する,未申請スタッフ、未入力日、通知状態
未承認一覧,MO-ATT-006-API-01-Submit/Process Pending Approval List (https://www.notion.so/MO-ATT-006-API-01-Submit-Process-Pending-Approval-List-36bf02c407dd806f8272c082d18ff1d5?pvs=21),,Danh sách attendance chưa approve,Attendance Management,,Pending Approval List,MO-ATT-006,Not started,,MOTO Portal,"Approval status, approver, submit time",/moto/attendance/approval-pending,,,派遣元ポータル,勤怠管理,未承認勤怠一覧を表示する,承認状態、承認者、申請日時
請求一覧,MO-BILL-001-API-01-Get Invoice List (https://www.notion.so/MO-BILL-001-API-01-Get-Invoice-List-36bf02c407dd80f885a8f4c655c16e7e?pvs=21),,Danh sách invoice,Billing Management,,Invoice List,MO-BILL-001,Not started,,MOTO Portal,"Invoice No, billing month, amount, status",/moto/billing,Untitled (https://www.notion.so/374f02c407dd801b9aead10f5d9c2283?pvs=21),,派遣元ポータル,請求管理,"請求一覧を表示する, 請求書PDF,請求データCSVDL",請求番号、請求月、金額、ステータス
請求詳細,MO-BILL-002-API-01-Get Invoice Detail (https://www.notion.so/MO-BILL-002-API-01-Get-Invoice-Detail-36bf02c407dd80688ceffd03a4765ab8?pvs=21),,Xem chi tiết invoice,Billing Management,,Invoice Detail,MO-BILL-002,Not started,,MOTO Portal,"Billing item, tax amount, attendance reference",/moto/billing/:id,Untitled (https://www.notion.so/374f02c407dd801b9aead10f5d9c2283?pvs=21),,派遣元ポータル,請求管理,"請求詳細を表示する, 請求書PDF",請求明細、税額、関連勤怠
請求書作成,MO-BILL-003-API-01-Create Create Invoice (https://www.notion.so/MO-BILL-003-API-01-Create-Create-Invoice-36bf02c407dd80109d33c82b7e66eebd?pvs=21),,"Generate invoice từ attendance
Generaste Invoice từ Tính toán
Create manual invoice",Billing Management,,Create Invoice,MO-BILL-003,Not started,,MOTO Portal,"Billing target, calculated amount, billing month",/moto/billing/create,Untitled (https://www.notion.so/374f02c407dd8029a44feec8af7502c9?pvs=21),,派遣元ポータル,請求管理,勤怠実績から請求書を作成する,請求対象、計算金額、請求月
請求書提出,MO-BILL-004-API-01-Submit/Process Submit Invoice (https://www.notion.so/MO-BILL-004-API-01-Submit-Process-Submit-Invoice-36bf02c407dd80389b6ccc79fa0832ef?pvs=21),,Submit invoice cho SAKI,Billing Management,,Submit Invoice,MO-BILL-004,Not started,,MOTO Portal,"Submit status, submit date, notification result",/moto/billing/:id/submit,,,派遣元ポータル,請求管理,請求書を提出する,提出状態、提出日時、通知結果
スタッフ一覧,MO-STF-001-API-01-Get Staff List (https://www.notion.so/MO-STF-001-API-01-Get-Staff-List-36bf02c407dd80539f9de0a359a2bddf?pvs=21),"テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21), テナント権限管理フロー (https://www.notion.so/362f02c407dd809f9b10fd60ec3d5513?pvs=21), スタッフアカウント管理フローグインフロ (https://www.notion.so/362f02c407dd8085b955e3658a48e843?pvs=21)",Danh sách staff,Staff Management,,Staff List,MO-STF-001,Not started,,MOTO Portal,"Staff code, full name, status, active contract count",/moto/staff,Untitled (https://www.notion.so/374f02c407dd809ba6f6f28b4b347615?pvs=21),,派遣元ポータル,スタッフ管理,スタッフ一覧を表示する,スタッフコード、氏名、状態、稼働契約数
スタッフ登録,MO-STF-002-API-01-Create Create Staff (https://www.notion.so/MO-STF-002-API-01-Create-Create-Staff-36bf02c407dd807d99b1d466985ec5e1?pvs=21),,Tạo staff mới,Staff Management,,Create Staff,MO-STF-002,Not started,,MOTO Portal,"Personal info, contact info, emergency contact",/moto/staff/create,,,派遣元ポータル,スタッフ管理,スタッフを新規登録する,個人情報、連絡先、緊急連絡先
スキルシート,MO-STF-003-API-01-Get Staff Skill Sheet (https://www.notion.so/MO-STF-003-API-01-Get-Staff-Skill-Sheet-36bf02c407dd80cd9e56f4b4dfd2340c?pvs=21),,Quản lý skill sheet staff,Staff Management,,Staff Skill Sheet,MO-STF-003,Not started,,MOTO Portal,"Skills, certifications, experiences, language level",/moto/staff/:id/skills,,,派遣元ポータル,スタッフ管理,スタッフのスキルシートを管理する,スキル、資格、経験、語学レベル
企業マスタ,"MO-SET-001-API-01-Get Company Master (https://www.notion.so/MO-SET-001-API-01-Get-Company-Master-36bf02c407dd8001ab7ef44f88a46cc4?pvs=21), MO-SET-001-API-02-Update Company Master (https://www.notion.so/MO-SET-001-API-02-Update-Company-Master-36bf02c407dd805e9dbde3cf670fdb7c?pvs=21)",テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),Quản lý thông tin công ty,Company Settings,,Company Master,MO-SET-001,Not started,,MOTO Portal,"Company name, address, tax code, contact info",/moto/settings/company,Untitled (https://www.notion.so/374f02c407dd80dfadc2f7e724a48d56?pvs=21),,派遣元ポータル,企業設定,企業情報を管理する,会社名、住所、税番号、連絡先
事業所マスタ,"MO-SET-002-API-01-Get Branch Master (https://www.notion.so/MO-SET-002-API-01-Get-Branch-Master-36bf02c407dd809ab379f0433960c2da?pvs=21), MO-SET-002-API-02-Update Branch Master (https://www.notion.so/MO-SET-002-API-02-Update-Branch-Master-36bf02c407dd805a9fa0e7a57600de58?pvs=21)",テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),Quản lý branch,Company Settings,,Branch Master,MO-SET-002,Not started,,MOTO Portal,"Branch name, address, manager",/moto/settings/branches,,,派遣元ポータル,企業設定,事業所情報を管理する,事業所名、住所、責任者
部署マスタ,"MO-SET-003-API-01-Get Department Master (https://www.notion.so/MO-SET-003-API-01-Get-Department-Master-36bf02c407dd803d9e71c5bc5bf91575?pvs=21), MO-SET-003-API-02-Update Department Master (https://www.notion.so/MO-SET-003-API-02-Update-Department-Master-36bf02c407dd80f2ae20dca49d68f106?pvs=21)",テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),Quản lý department,Company Settings,,Department Master,MO-SET-003,Not started,,MOTO Portal,"Department hierarchy, manager",/moto/settings/departments,Untitled (https://www.notion.so/374f02c407dd80dfadc2f7e724a48d56?pvs=21),,派遣元ポータル,企業設定,部署情報を管理する,部署階層、管理者
ユーザーマスタ,"MO-SET-004-API-01-Get User Master (https://www.notion.so/MO-SET-004-API-01-Get-User-Master-36bf02c407dd80ee928bd1879bfa709f?pvs=21), MO-SET-004-API-02-Update User Master (https://www.notion.so/MO-SET-004-API-02-Update-User-Master-36bf02c407dd80f18521c2a4626caba2?pvs=21)","テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21), テナント権限管理フロー (https://www.notion.so/362f02c407dd809f9b10fd60ec3d5513?pvs=21)",Quản lý user hệ thống,Company Settings,,User Master,MO-SET-004,Not started,,MOTO Portal,"User name, role, account status",/moto/settings/users,Untitled (https://www.notion.so/374f02c407dd8027a564d3306750a206?pvs=21),,派遣元ポータル,企業設定,システムユーザーを管理する,ユーザー名、権限、アカウント状態
権限マスタ,"MO-SET-005-API-01-Get Role Master (https://www.notion.so/MO-SET-005-API-01-Get-Role-Master-36bf02c407dd800fb3d5e6a3a6b5651b?pvs=21), MO-SET-005-API-02-Update Role Master (https://www.notion.so/MO-SET-005-API-02-Update-Role-Master-36bf02c407dd808bac29eaafff2370f5?pvs=21)","テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21), テナント権限管理フロー (https://www.notion.so/362f02c407dd809f9b10fd60ec3d5513?pvs=21)",Quản lý RBAC,Company Settings,,Role Master,MO-SET-005,Not started,,MOTO Portal,"Role name, permission count, assign users",/moto/settings/roles,Untitled (https://www.notion.so/374f02c407dd80c49ef4e7be6b3fe057?pvs=21),,派遣元ポータル,企業設定,権限情報を管理する,権限名、権限数、割当ユーザー数
勤怠区分マスタ,"MO-SET-006-API-01-Get Attendance Type Master (https://www.notion.so/MO-SET-006-API-01-Get-Attendance-Type-Master-36bf02c407dd80faab49d7a9c5df970b?pvs=21), MO-SET-006-API-02-Update Attendance Type Master (https://www.notion.so/MO-SET-006-API-02-Update-Attendance-Type-Master-36bf02c407dd804d822cfff9f7a4f6b0?pvs=21)",テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),Quản lý attendance type,Company Settings,,Attendance Type Master,MO-SET-006,Not started,,MOTO Portal,"Attendance code, OT flag, paid leave flag",/moto/settings/attendance-types,,,派遣元ポータル,企業設定,勤怠区分マスタを管理する,勤怠コード、残業区分、有給区分
就業場所区分マスタ,"MO-SET-007-API-01-Get Workplace Type Master (https://www.notion.so/MO-SET-007-API-01-Get-Workplace-Type-Master-36bf02c407dd801e834bc1d2caa205cc?pvs=21), MO-SET-007-API-02-Update Workplace Type Master (https://www.notion.so/MO-SET-007-API-02-Update-Workplace-Type-Master-36bf02c407dd803b8af7c2a9ff81d38f?pvs=21)",テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),Quản lý workplace type,Company Settings,,Workplace Type Master,MO-SET-007,Not started,,MOTO Portal,"Workplace category, active flag",/moto/settings/workplace-types,,,派遣元ポータル,企業設定,就業場所区分を管理する,就業場所区分、利用状態
メール・アラーム設定,"MO-SET-008-API-01-Get Mail Alert Setting (https://www.notion.so/MO-SET-008-API-01-Get-Mail-Alert-Setting-36bf02c407dd800a9231ddd8d4d690f0?pvs=21), MO-SET-008-API-02-Update Mail Alert Setting (https://www.notion.so/MO-SET-008-API-02-Update-Mail-Alert-Setting-36bf02c407dd80e9b79bd1b99b44bd3b?pvs=21)",テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),Thiết lập mail notification,Company Settings,,Mail Alert Setting,MO-SET-008,Not started,,MOTO Portal,"Mail template, trigger condition, receivers",/moto/settings/mail-alerts,,,派遣元ポータル,企業設定,メール通知・アラーム設定を管理する,メールテンプレート、送信条件、送信先
 見積/派遣照会回答履歴,MO-REQ-005-API-01-Get Response History (https://www.notion.so/MO-REQ-005-API-01-Get-Response-History-36bf02c407dd80819af8c6474963835b?pvs=21),Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21),Xem lịch sử trả lời 見積/派遣照会.,Request Management,,Response History,MO-REQ-005,Not started,,MOTO Portal,"Người trả lời, thời gian trả lời, nội dung trả lời, trạng thái",/moto/requests/:id/response-history,,,派遣元ポータル,派遣照会,見積・派遣照会への回答履歴を参照する。,回答者、回答日時、回答内容、ステータス
契約帳票DL,MO-CON-009-API-01-Export Contract Document Download (https://www.notion.so/MO-CON-009-API-01-Export-Contract-Document-Download-36bf02c407dd80039bc9e76788aa7386?pvs=21),Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21),Bulk PDF/ZIP DL,Contract Management,,Contract Document Download,MO-CON-009,Not started,,MOTO Portal,,,,,派遣元ポータル,契約管理,契約帳票DL,
勤怠/集計DL,MO-ATT-007-API-01-Export Attendance Export (https://www.notion.so/MO-ATT-007-API-01-Export-Attendance-Export-36bf02c407dd80aca2c4d918547d9dbd?pvs=21),,"Export attendance, Export monthly summary",Attendance Management,,Attendance Export,MO-ATT-007,Not started,,MOTO Portal,,/moto/attendance/download,,,派遣元ポータル,勤怠管理,"勤怠集計DL, 勤怠DL",
ログイン,MO-AUTH-001-API-01-Login (https://www.notion.so/MO-AUTH-001-API-01-Login-36bf02c407dd80cfaf56e04d270c9dd4?pvs=21),ログインフロー (https://www.notion.so/362f02c407dd80fcb574ca2b01dc0c48?pvs=21),Đăng nhập hệ thống bằng account/password; hỗ trợ lock control và remember session.,Common,,Login,MO-AUTH-001,Not started,,MOTO Portal,"Login ID, password, login error message, remember login flag",/moto/login,Untitled (https://www.notion.so/374f02c407dd80089717d0233edb23f8?pvs=21),,派遣元ポータル,共通,アカウント・パスワードによるログインを行う。ロック制御・セッション管理対応。,ログインID、パスワード、エラーメッセージ、ログイン保持
ログアウト,MO-AUTH-002-API-01-Logout (https://www.notion.so/MO-AUTH-002-API-01-Logout-36bf02c407dd8089a8def6a4daf1baf2?pvs=21),ログインフロー (https://www.notion.so/362f02c407dd80fcb574ca2b01dc0c48?pvs=21),Logout khỏi hệ thống và clear session/token.,Common,,Logout,MO-AUTH-002,Not started,,MOTO Portal,"Login user, logout timestamp",/moto/logout,,,派遣元ポータル,共通,システムからログアウトし、セッションを破棄する。,ログインユーザー、ログアウト日時
パスワード変更,MO-AUTH-003-API-01-Change Password (https://www.notion.so/MO-AUTH-003-API-01-Change-Password-36bf02c407dd80808f91eda511cb4382?pvs=21),"ログインフロー (https://www.notion.so/362f02c407dd80fcb574ca2b01dc0c48?pvs=21), テナント権限管理フロー (https://www.notion.so/362f02c407dd809f9b10fd60ec3d5513?pvs=21)",Đổi password user hiện tại.,Common,,Change Password,MO-AUTH-003,Not started,,MOTO Portal,"Current password, new password, password policy message",/moto/change-password,,,派遣元ポータル,共通,ログインユーザーのパスワードを変更する。,現在パスワード、新パスワード、パスワードポリシー
パスワード初期化,"MO-AUTH-004-API-01-Request Password Reset (https://www.notion.so/MO-AUTH-004-API-01-Request-Password-Reset-36bf02c407dd803f9e2acfb1fec88654?pvs=21), MO-AUTH-004-API-02-Confirm Password Reset (https://www.notion.so/MO-AUTH-004-API-02-Confirm-Password-Reset-36bf02c407dd80f3b6dcd1ffa46ef507?pvs=21)",テナント権限管理フロー (https://www.notion.so/362f02c407dd809f9b10fd60ec3d5513?pvs=21),Admin reset password cho user/staff.,Common,,Password Reset,MO-AUTH-004,Not started,,MOTO Portal,"Target user, reset result, reset datetime",/moto/password-reset,,,派遣元ポータル,共通,管理者がユーザー・スタッフのパスワードを初期化する。,対象ユーザー、初期化結果、実行日時
ロック解除,MO-AUTH-005-API-01-Login (https://www.notion.so/MO-AUTH-005-API-01-Login-36bf02c407dd807ca968f2473e4cebb0?pvs=21),ログインフロー (https://www.notion.so/362f02c407dd80fcb574ca2b01dc0c48?pvs=21),Unlock account bị lock do login fail.,Common,,Account Unlock,MO-AUTH-005,Not started,,MOTO Portal,"User name, lock status, failed login count",/moto/account-unlock,,,派遣元ポータル,共通,ログイン失敗でロックされたアカウントを解除する。,ユーザー名、ロック状態、失敗回数
ログイン履歴,MO-AUTH-006-API-01-Logout (https://www.notion.so/MO-AUTH-006-API-01-Logout-36bf02c407dd801eb093f72aeafa9197?pvs=21),ログインフロー (https://www.notion.so/362f02c407dd80fcb574ca2b01dc0c48?pvs=21),Xem lịch sử login/logout user.,Common,,Login History,MO-AUTH-006,Not started,,MOTO Portal,"User name, login IP, login datetime, logout datetime",/moto/login-history,,,派遣元ポータル,共通,ユーザーのログイン履歴を参照する。,ユーザー名、IPアドレス、ログイン日時、ログアウト日時
操作履歴,MO-COM-007-API-01-Get User Operation Log (https://www.notion.so/MO-COM-007-API-01-Get-User-Operation-Log-36bf02c407dd805686d2f63355c5ebde?pvs=21),,Xem audit log thao tác user trên hệ thống.,Common,,User Operation Log,MO-COM-007,Not started,,MOTO Portal,"Operator, operation type, target screen, operation datetime",/moto/audit-log,,,派遣元ポータル,共通,ユーザー操作履歴を参照する。,操作者、操作種別、対象画面、操作日時
法定休日設定,"MO-ATT-010-API-01-Get Legal Holiday Setting (https://www.notion.so/MO-ATT-010-API-01-Get-Legal-Holiday-Setting-36bf02c407dd80da900ef34e2352e389?pvs=21), MO-ATT-010-API-02-Update Legal Holiday Setting (https://www.notion.so/MO-ATT-010-API-02-Update-Legal-Holiday-Setting-36bf02c407dd80db8f45c0e3a197fd47?pvs=21)",,Quản lý luật nghỉ pháp định và holiday rule áp dụng cho attendance/billing.,Attendance Management,,Legal Holiday Setting,MO-ATT-010,Not started,,MOTO Portal,"Holiday type, effective date, target organization, calculation rule",/moto/attendance/legal-holidays,,,派遣元ポータル,勤怠管理,法定休日ルールおよび勤怠・請求連携設定を管理する。,休日区分、適用開始日、対象組織、計算ルール
