画面名 (JP),機能説明,Status,System,システム,Screen ID,Screen (VI),Giải thích tính năng,URL,画面表示情報,Thông tin hiển thị trên màn hình,Business Flow,Sub menu,サブメニュー,API List
ログイン履歴,ユーザーのログイン履歴を参照する。,Not started,MOTO Portal,派遣元ポータル,MO-AUTH-006,Login History,Xem lịch sử login/logout user.,/moto/login-history,ユーザー名、IPアドレス、ログイン日時、ログアウト日時,"User name, login IP, login datetime, logout datetime",ログインフロー (https://www.notion.so/362f02c407dd80fcb574ca2b01dc0c48?pvs=21),,,MO-AUTH-006-API-01-Logout (https://www.notion.so/MO-AUTH-006-API-01-Logout-36bf02c407dd801eb093f72aeafa9197?pvs=21)
バッチ実行履歴,バッチ処理実行履歴を参照する。,Not started,MOTO Portal,派遣元ポータル,MO-BAT-001,Batch Execution History,Xem lịch sử batch processing/background jobs.,/moto/batch/history,バッチ名、実行状態、実行日時,"Batch name, execution status, execution datetime",,,,MO-BAT-001-API-01-Get Batch Execution History (https://www.notion.so/MO-BAT-001-API-01-Get-Batch-Execution-History-36bf02c407dd8049966af0e83c5e8004?pvs=21)
ファイル取込結果,ファイル取込結果を参照する。,Not started,MOTO Portal,派遣元ポータル,MO-BAT-002,File Import Result,Xem kết quả import file hàng loạt.,/moto/batch/import-results,取込ファイル、成功件数、エラー件数,"Imported file, success count, error count",,,,"MO-BAT-002-API-01-Upload File Import Result (https://www.notion.so/MO-BAT-002-API-01-Upload-File-Import-Result-36bf02c407dd807d9610cd3d7544de00?pvs=21), MO-BAT-002-API-02-Get Upload Result (https://www.notion.so/MO-BAT-002-API-02-Get-Upload-Result-36bf02c407dd8041b4c4f624787ba4d1?pvs=21)"
検証エラー一覧,アップロード・取込時の検証エラー一覧を表示する。,Not started,MOTO Portal,派遣元ポータル,MO-BAT-003,Validation Error List,Danh sách validation errors sau upload/import.,/moto/batch/validation-errors,エラー行、エラー内容、対象項目,"Error row, error reason, target field",,,,"MO-BAT-003-API-01-Upload Validation Error List (https://www.notion.so/MO-BAT-003-API-01-Upload-Validation-Error-List-36bf02c407dd804db678e97b77da9a04?pvs=21), MO-BAT-003-API-02-Get Upload Result (https://www.notion.so/MO-BAT-003-API-02-Get-Upload-Result-36bf02c407dd8019b9cdf8ece298fbca?pvs=21)"
非同期処理状況,非同期処理ジョブ状態を確認する。,Not started,MOTO Portal,派遣元ポータル,MO-BAT-004,Async Job Status,Theo dõi async jobs/background processing.,/moto/batch/jobs,ジョブキュー、処理状態、リトライ回数,"Job queue, processing status, retry count",,,,MO-BAT-004-API-01-Get Async Job Status (https://www.notion.so/MO-BAT-004-API-01-Get-Async-Job-Status-36bf02c407dd80b4a15ceb4bac00f16d?pvs=21)
エラーCSV DL,エラー内容をCSV形式でダウンロードする。,Not started,MOTO Portal,派遣元ポータル,MO-BAT-005,CSV Error Download,Download CSV chứa error records.,/moto/batch/error-csv,エラーCSVファイル、生成日時,"Error CSV file, generated datetime",,,,MO-BAT-005-API-01-Export CSV Error Download (https://www.notion.so/MO-BAT-005-API-01-Export-CSV-Error-Download-36bf02c407dd80d5a43fe4145cfce03d?pvs=21)
請求一覧,"請求一覧を表示する, 請求書PDF,請求データCSVDL",Not started,MOTO Portal,派遣元ポータル,MO-BILL-001,Invoice List,Danh sách invoice,/moto/billing,請求番号、請求月、金額、ステータス,"Invoice No, billing month, amount, status",,,,MO-BILL-001-API-01-Get Invoice List (https://www.notion.so/MO-BILL-001-API-01-Get-Invoice-List-36bf02c407dd80f885a8f4c655c16e7e?pvs=21)
請求詳細,"請求詳細を表示する, 請求書PDF",Not started,MOTO Portal,派遣元ポータル,MO-BILL-002,Invoice Detail,Xem chi tiết invoice,/moto/billing/:id,請求明細、税額、関連勤怠,"Billing item, tax amount, attendance reference",,,,MO-BILL-002-API-01-Get Invoice Detail (https://www.notion.so/MO-BILL-002-API-01-Get-Invoice-Detail-36bf02c407dd80688ceffd03a4765ab8?pvs=21)
請求書作成,勤怠実績から請求書を作成する,Not started,MOTO Portal,派遣元ポータル,MO-BILL-003,Create Invoice,"Generate invoice từ attendance
Generaste Invoice từ Tính toán
Create manual invoice",/moto/billing/create,請求対象、計算金額、請求月,"Billing target, calculated amount, billing month",,,,MO-BILL-003-API-01-Create Create Invoice (https://www.notion.so/MO-BILL-003-API-01-Create-Create-Invoice-36bf02c407dd80109d33c82b7e66eebd?pvs=21)
請求書提出,請求書を提出する,Not started,MOTO Portal,派遣元ポータル,MO-BILL-004,Submit Invoice,Submit invoice cho SAKI,/moto/billing/:id/submit,提出状態、提出日時、通知結果,"Submit status, submit date, notification result",,,,MO-BILL-004-API-01-Submit/Process Submit Invoice (https://www.notion.so/MO-BILL-004-API-01-Submit-Process-Submit-Invoice-36bf02c407dd80389b6ccc79fa0832ef?pvs=21)
請求書初期値設定,請求書生成時の初期値を設定する。,Not started,MOTO Portal,派遣元ポータル,MO-BILL-010,Billing Default Setting,Thiết lập default value cho invoice generation.,/moto/billing/default-settings,デフォルト税率、振込先口座、請求書フッター、帳票フォーマット,"Default tax rate, default bank account, default footer text, invoice format",,,,"MO-BILL-010-API-01-Get Billing Default Setting (https://www.notion.so/MO-BILL-010-API-01-Get-Billing-Default-Setting-36bf02c407dd80e482e3cd0b1d2e37b5?pvs=21), MO-BILL-010-API-02-Update Billing Default Setting (https://www.notion.so/MO-BILL-010-API-02-Update-Billing-Default-Setting-36bf02c407dd80e5ad5ed636d60dc762?pvs=21)"
請求書確定,請求書を確定する。,Not started,MOTO Portal,派遣元ポータル,MO-BILL-020,Invoice Finalize,Finalize invoice trước khi submit cho SAKI.,/moto/billing/:id/finalize,請求金額、税額、確定日時,"Invoice amount, tax amount, finalize datetime",,,,MO-BILL-020-API-01-Submit/Process Invoice Finalize (https://www.notion.so/MO-BILL-020-API-01-Submit-Process-Invoice-Finalize-36bf02c407dd80b1a99dd20bcd9e0533?pvs=21)
請求書提出,確定済み請求書を派遣先へ提出する。,Not started,MOTO Portal,派遣元ポータル,MO-BILL-021,Invoice Submit,Submit finalized invoice cho SAKI.,/moto/billing/:id/submit,提出状態、提出日時、通知結果,"Submit status, submit datetime, notification result",,,,MO-BILL-021-API-01-Submit/Process Invoice Submit (https://www.notion.so/MO-BILL-021-API-01-Submit-Process-Invoice-Submit-36bf02c407dd80279936d9cc8b69fef4?pvs=21)
請求明細勤怠参照,請求明細に紐づく勤怠実績を参照する。,Not started,MOTO Portal,派遣元ポータル,MO-BILL-022,Invoice Attendance Reference,Xem attendance linked với invoice detail.,/moto/billing/:id/attendance,請求明細、勤怠実績、残業計算,"Invoice detail, attendance detail, overtime calculation",,,,MO-BILL-022-API-01-Get Invoice Attendance Reference (https://www.notion.so/MO-BILL-022-API-01-Get-Invoice-Attendance-Reference-36bf02c407dd807a8d7cfe1127cf6e51?pvs=21)
派遣元テナント初期設定,派遣元テナント初期設定,Not started,MOTO Portal,派遣元ポータル,MO-COM-000,Tenant Init Setup,,,,,,,,"MO-COM-000-API-01-Get Tenant Init Setup (https://www.notion.so/MO-COM-000-API-01-Get-Tenant-Init-Setup-36bf02c407dd80e3a19de12ae684eed8?pvs=21), MO-COM-000-API-02-Update Tenant Init Setup (https://www.notion.so/MO-COM-000-API-02-Update-Tenant-Init-Setup-36bf02c407dd8092ad41d3c053127266?pvs=21)"
操作履歴,ユーザー操作履歴を参照する。,Not started,MOTO Portal,派遣元ポータル,MO-COM-007,User Operation Log,Xem audit log thao tác user trên hệ thống.,/moto/audit-log,操作者、操作種別、対象画面、操作日時,"Operator, operation type, target screen, operation datetime",,,,MO-COM-007-API-01-Get User Operation Log (https://www.notion.so/MO-COM-007-API-01-Get-User-Operation-Log-36bf02c407dd805686d2f63355c5ebde?pvs=21)
契約一覧,契約一覧を表示する,Not started,MOTO Portal,派遣元ポータル,MO-CON-001,Contract List,Danh sách contract,/moto/contracts,契約番号、取引先、スタッフ、契約期間、ステータス,"Contract No, client, staff, contract period, status","Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 契約作成フロー (https://www.notion.so/362f02c407dd80f3a10cfe645cd590f4?pvs=21), 契約承認フロー (https://www.notion.so/362f02c407dd80d9a3fef628f1cf05f6?pvs=21)",,,MO-CON-001-API-01-Get Contract List (https://www.notion.so/MO-CON-001-API-01-Get-Contract-List-36bf02c407dd8039bbbcefab20bdc59c?pvs=21)
契約詳細・編集,契約詳細を表示する,Not started,MOTO Portal,派遣元ポータル,MO-CON-002,Contract Detail・Edit,Xem chi tiết contract,/moto/contracts/:id,請求情報、勤怠集計、承認履歴,"Billing info, attendance summary, approval history","Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 契約作成フロー (https://www.notion.so/362f02c407dd80f3a10cfe645cd590f4?pvs=21), 契約承認フロー (https://www.notion.so/362f02c407dd80d9a3fef628f1cf05f6?pvs=21)",,,"MO-CON-002-API-01-Get Contract Detail・Edit (https://www.notion.so/MO-CON-002-API-01-Get-Contract-Detail-Edit-36bf02c407dd8097b3efea6818f0952d?pvs=21), MO-CON-002-API-02-Update Contract Detail・Edit (https://www.notion.so/MO-CON-002-API-02-Update-Contract-Detail-Edit-36bf02c407dd80a4b84ef4e9387c4a25?pvs=21)"
契約作成,新規契約を作成する,Not started,MOTO Portal,派遣元ポータル,MO-CON-003,Create Contract,Tạo contract mới,/moto/contracts/create,スタッフ情報、取引先情報、単価、残業条件,"Staff info, client info, unit price, OT condition","Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 契約作成フロー (https://www.notion.so/362f02c407dd80f3a10cfe645cd590f4?pvs=21)",,,MO-CON-003-API-01-Create Create Contract (https://www.notion.so/MO-CON-003-API-01-Create-Create-Contract-36bf02c407dd800faff6f8b06b81bc69?pvs=21)
派遣照会から契約作成,派遣照会回答から契約を作成する,Not started,MOTO Portal,派遣元ポータル,MO-CON-004,Create Contract From Request,Tạo contract từ staffing request,/moto/contracts/create-from-request/:id,派遣照会情報、選択スタッフ、契約下書き情報,"Request info, selected staff, contract draft info","Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 契約作成フロー (https://www.notion.so/362f02c407dd80f3a10cfe645cd590f4?pvs=21)",,,MO-CON-004-API-01-Create Create Contract From Request (https://www.notion.so/MO-CON-004-API-01-Create-Create-Contract-From-Request-36bf02c407dd80278663e9f30a5a868c?pvs=21)
作成中契約一覧,下書き契約一覧を表示する,Not started,MOTO Portal,派遣元ポータル,MO-CON-005,Draft Contract List,Danh sách contract draft,/moto/contracts/drafts,下書き契約、更新日、作成者,"Draft contract, updated date, draft owner","Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 契約作成フロー (https://www.notion.so/362f02c407dd80f3a10cfe645cd590f4?pvs=21)",,,MO-CON-005-API-01-Get Draft Contract List (https://www.notion.so/MO-CON-005-API-01-Get-Draft-Contract-List-36bf02c407dd805a9af5c5c65f890230?pvs=21)
契約延長,契約延長処理を行う,Not started,MOTO Portal,派遣元ポータル,MO-CON-006,Contract Extension,Gia hạn contract,/moto/contracts/:id/extend,延長期間、更新単価、延長状態,"Extended period, updated unit price, extension status",,,,MO-CON-006-API-01-Get Contract Extension (https://www.notion.so/MO-CON-006-API-01-Get-Contract-Extension-36bf02c407dd80068ca3c94ab87835e6?pvs=21)
契約終了,契約終了処理を行う,Not started,MOTO Portal,派遣元ポータル,MO-CON-007,Contract End,Kết thúc contract,/moto/contracts/:id/end,終了理由、終了日、未承認勤怠、最終請求,"End reason, end date, pending attendance, final billing",,,,MO-CON-007-API-01-Get Contract End (https://www.notion.so/MO-CON-007-API-01-Get-Contract-End-36bf02c407dd8029aca6febfcd6ff789?pvs=21)
契約アップロード,契約情報を一括アップロードする,Not started,MOTO Portal,派遣元ポータル,MO-CON-008,Contract Upload,Upload contract hàng loạt,/moto/contracts/upload,アップロードファイル、検証結果、取込結果,"Upload file, validation result, import result","Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 契約作成フロー (https://www.notion.so/362f02c407dd80f3a10cfe645cd590f4?pvs=21)",,,"MO-CON-008-API-01-Upload Contract Upload (https://www.notion.so/MO-CON-008-API-01-Upload-Contract-Upload-36bf02c407dd80188c87cfb5c7c3f251?pvs=21), MO-CON-008-API-02-Get Upload Result (https://www.notion.so/MO-CON-008-API-02-Get-Upload-Result-36bf02c407dd8079a8e9f9ad1360e2b0?pvs=21)"
契約帳票DL,契約帳票DL,Not started,MOTO Portal,派遣元ポータル,MO-CON-009,Contract Document Download,Bulk PDF/ZIP DL,,,,Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21),,,MO-CON-009-API-01-Export Contract Document Download (https://www.notion.so/MO-CON-009-API-01-Export-Contract-Document-Download-36bf02c407dd80039bc9e76788aa7386?pvs=21)
一時保存契約から作成,一時保存された契約ドラフトから契約作成を作成する,Not started,MOTO Portal,派遣元ポータル,MO-CON-020,Draft Contract Restore,Khôi phục contract draft đã lưu và tiếp tục tạo contract.,/moto/contracts/drafts,下書き契約一覧、更新日時、作成者、状態,"Draft contract list, updated datetime, draft creator, draft status",契約作成フロー (https://www.notion.so/362f02c407dd80f3a10cfe645cd590f4?pvs=21),,,MO-CON-020-API-01-Create Draft Contract Restore (https://www.notion.so/MO-CON-020-API-01-Create-Draft-Contract-Restore-36bf02c407dd8087b322dd879a524eeb?pvs=21)
アップロードで延長する,契約延長情報をファイルアップロードで一括処理する。,Not started,MOTO Portal,派遣元ポータル,MO-CON-021,Contract Extension Upload,Upload file để bulk extend contracts.,/moto/contracts/extensions/upload,アップロードファイル、検証結果、対象契約、処理状態,"Upload file, validation result, target contracts, process status",,,,"MO-CON-021-API-01-Upload Contract Extension Upload (https://www.notion.so/MO-CON-021-API-01-Upload-Contract-Extension-Upload-36bf02c407dd80259368e4a44d90a81d?pvs=21), MO-CON-021-API-02-Get Upload Result (https://www.notion.so/MO-CON-021-API-02-Get-Upload-Result-36bf02c407dd805e85bfcdfb1511065e?pvs=21)"
アップロードで修正する,契約修正情報をファイルアップロードで一括処理する。,Not started,MOTO Portal,派遣元ポータル,MO-CON-022,Contract Revision Upload,Upload file để bulk revise contracts.,/moto/contracts/revisions/upload,アップロードファイル、修正対象、検証エラー、結果状態,"Upload file, revision target, validation error, result status",契約承認フロー (https://www.notion.so/362f02c407dd80d9a3fef628f1cf05f6?pvs=21),,,"MO-CON-022-API-01-Upload Contract Revision Upload (https://www.notion.so/MO-CON-022-API-01-Upload-Contract-Revision-Upload-36bf02c407dd80af81aacbb1371c84a3?pvs=21), MO-CON-022-API-02-Get Upload Result (https://www.notion.so/MO-CON-022-API-02-Get-Upload-Result-36bf02c407dd8077b1a3d34e3ab90c36?pvs=21)"
営業担当者削除,契約・取引先に紐づく営業担当者を削除する。,Not started,MOTO Portal,派遣元ポータル,MO-CON-023,Sales PIC Delete,Xóa sales PIC khỏi contract/client mapping.,/moto/contracts/sales-pic/delete,担当者名、対象契約、削除状態,"PIC name, assigned contracts, delete status",,,,MO-CON-023-API-01-Delete/Cancel Sales PIC Delete (https://www.notion.so/MO-CON-023-API-01-Delete-Cancel-Sales-PIC-Delete-36bf02c407dd80c8b173f2f36680faa0?pvs=21)
未提出契約一覧,未提出契約一覧を表示する。,Not started,MOTO Portal,派遣元ポータル,MO-CON-024,Unsubmitted Contract List,Danh sách contract chưa submit hoặc pending submit.,/moto/contracts/unsubmitted,契約番号、下書き状態、作成者、作成日時,"Contract No, draft status, created user, created datetime",契約承認フロー (https://www.notion.so/362f02c407dd80d9a3fef628f1cf05f6?pvs=21),,,MO-CON-024-API-01-Submit/Process Unsubmitted Contract List (https://www.notion.so/MO-CON-024-API-01-Submit-Process-Unsubmitted-Contract-List-36bf02c407dd8043854df8e94157e980?pvs=21)
取引先企業一覧,e-TimeCard利用取引先一覧を表示する。,Not started,MOTO Portal,派遣元ポータル,MO-ETC-002,Client Company Master List,Danh sách công ty/SAKI dùng e-TimeCard.,/moto/e-timecard/companies,会社名、ドメイン、契約数、承認状態,"Company name, domain, active contracts, approval status",,,,
取引先企業詳細,取引先企業のe-TimeCard設定詳細を表示する。,Not started,MOTO Portal,派遣元ポータル,MO-ETC-003,Client Company Detail,Chi tiết cấu hình e-TimeCard của SAKI/company.,/moto/e-timecard/companies/:id,ドメイン、承認フロー、勤怠ルール、締日,"Domain, approval workflow, attendance rule, closing date",,,,
ドメイン管理,e-TimeCardドメインを管理する。,Not started,MOTO Portal,派遣元ポータル,MO-ETC-004,Domain Management,Quản lý domain/login scope cho attendance approval.,/moto/e-timecard/domains,ドメイン名、ログイン種別、利用状態,"Domain name, login type, active status",,,,
基本情報一覧,勤怠基本情報一覧を表示する。,Not started,MOTO Portal,派遣元ポータル,MO-ETC-005,Attendance Base Info List,Danh sách attendance base settings.,/moto/e-timecard/base-info,設定名、締日、承認フロー,"Attendance config name, closing date, approval flow",,,,
基本情報詳細,勤怠基本設定詳細を表示する。,Not started,MOTO Portal,派遣元ポータル,MO-ETC-006,Attendance Base Info Detail,Chi tiết attendance base config.,/moto/e-timecard/base-info/:id,勤務ルール、残業ルール、休憩ルール、丸めルール,"Work rule, overtime rule, break rule, rounding rule",,,,
