Name,Action,Action Description VI,Action JP,Data Scope,Module,Module Code,No,Route,Screen EN Fixed,Screen ID,Screen JP,Screen Key,Screen VN,System,System Code,System JP
moto.attendance.attendance_export.export,export,Export CSV/Excel,エクスポート,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,12,/moto/attendance/download,Attendance Export,MO-ATT-007,勤怠/集計DL,attendance_export,"Export attendance, Export monthly summary",MOTO Portal,moto,派遣元ポータル
moto.attendance.proxy_application.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,13,/moto/attendance/upload,Proxy application (multiple applications),MO-ATT-009,代理申請（締め申請×複数,proxy_application,"Chức năng upload , đăng ký giờ làm nhiều",MOTO Portal,moto,派遣元ポータル
moto.attendance.proxy_application.submit,submit,Submit/gửi workflow,提出,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,14,/moto/attendance/upload,Proxy application (multiple applications),MO-ATT-009,代理申請（締め申請×複数,proxy_application,"Chức năng upload , đăng ký giờ làm nhiều",MOTO Portal,moto,派遣元ポータル
moto.attendance.proxy_application.upload,upload,Upload file,アップロード,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,15,/moto/attendance/upload,Proxy application (multiple applications),MO-ATT-009,代理申請（締め申請×複数,proxy_application,"Chức năng upload , đăng ký giờ làm nhiều",MOTO Portal,moto,派遣元ポータル
moto.attendance.proxy_application.import,import,Import dữ liệu,インポート,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,16,/moto/attendance/upload,Proxy application (multiple applications),MO-ATT-009,代理申請（締め申請×複数,proxy_application,"Chức năng upload , đăng ký giờ làm nhiều",MOTO Portal,moto,派遣元ポータル
moto.attendance.legal_holiday_setting.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,17,/moto/attendance/legal-holidays,Legal Holiday Setting,MO-ATT-010,法定休日設定,legal_holiday_setting,Quản lý luật nghỉ pháp định và holiday rule áp dụng cho attendance/billing.,MOTO Portal,moto,派遣元ポータル
moto.attendance.legal_holiday_setting.edit,edit,Chỉnh sửa dữ liệu,修正,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,18,/moto/attendance/legal-holidays,Legal Holiday Setting,MO-ATT-010,法定休日設定,legal_holiday_setting,Quản lý luật nghỉ pháp định và holiday rule áp dụng cho attendance/billing.,MOTO Portal,moto,派遣元ポータル
moto.attendance.shift_reference.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,19,/moto/attendance/shifts,Shift Reference,MO-ATT-020,シフト参照,shift_reference,Xem shift của contract/staff.,MOTO Portal,moto,派遣元ポータル
moto.attendance.daily_attendance_export.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,20,/moto/attendance/export/daily,Daily Attendance Export,MO-ATT-022,日々勤怠DL,daily_attendance_export,"• Export daily attendance report.
  • Download List chưa gửi, list chưa approval",MOTO Portal,moto,派遣元ポータル
moto.attendance.daily_attendance_export.approve,approve,Phê duyệt,承認,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,21,/moto/attendance/export/daily,Daily Attendance Export,MO-ATT-022,日々勤怠DL,daily_attendance_export,"• Export daily attendance report.
  • Download List chưa gửi, list chưa approval",MOTO Portal,moto,派遣元ポータル
moto.attendance.daily_attendance_export.reject,reject,Từ chối/trả lại,却下/差戻し,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,22,/moto/attendance/export/daily,Daily Attendance Export,MO-ATT-022,日々勤怠DL,daily_attendance_export,"• Export daily attendance report.
  • Download List chưa gửi, list chưa approval",MOTO Portal,moto,派遣元ポータル
moto.attendance.daily_attendance_export.download,download,Download file/PDF,ダウンロード,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,23,/moto/attendance/export/daily,Daily Attendance Export,MO-ATT-022,日々勤怠DL,daily_attendance_export,"• Export daily attendance report.
  • Download List chưa gửi, list chưa approval",MOTO Portal,moto,派遣元ポータル
moto.attendance.daily_attendance_export.export,export,Export CSV/Excel,エクスポート,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,24,/moto/attendance/export/daily,Daily Attendance Export,MO-ATT-022,日々勤怠DL,daily_attendance_export,"• Export daily attendance report.
  • Download List chưa gửi, list chưa approval",MOTO Portal,moto,派遣元ポータル
moto.attendance.monthly_attendance_summary_export.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,25,/moto/attendance/export/summary,Monthly Attendance Summary Export,MO-ATT-023,勤怠集計DL,monthly_attendance_summary_export,Export monthly attendance summary.,MOTO Portal,moto,派遣元ポータル
moto.attendance.monthly_attendance_summary_export.download,download,Download file/PDF,ダウンロード,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,26,/moto/attendance/export/summary,Monthly Attendance Summary Export,MO-ATT-023,勤怠集計DL,monthly_attendance_summary_export,Export monthly attendance summary.,MOTO Portal,moto,派遣元ポータル
moto.attendance.monthly_attendance_summary_export.export,export,Export CSV/Excel,エクスポート,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,27,/moto/attendance/export/summary,Monthly Attendance Summary Export,MO-ATT-023,勤怠集計DL,monthly_attendance_summary_export,Export monthly attendance summary.,MOTO Portal,moto,派遣元ポータル
moto.attendance.approved_attendance_export.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,28,/moto/attendance/export/approved,Approved Attendance Export,MO-ATT-024,締め承認済勤怠DL,approved_attendance_export,Export approved/closed attendance records.,MOTO Portal,moto,派遣元ポータル
moto.attendance.approved_attendance_export.download,download,Download file/PDF,ダウンロード,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,31,/moto/attendance/export/approved,Approved Attendance Export,MO-ATT-024,締め承認済勤怠DL,approved_attendance_export,Export approved/closed attendance records.,MOTO Portal,moto,派遣元ポータル
moto.attendance.approved_attendance_export.export,export,Export CSV/Excel,エクスポート,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,32,/moto/attendance/export/approved,Approved Attendance Export,MO-ATT-024,締め承認済勤怠DL,approved_attendance_export,Export approved/closed attendance records.,MOTO Portal,moto,派遣元ポータル
moto.attendance.select_attendance_approver.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,33,/moto/attendance/approver,Select Attendance Approver,MO-ATT-025,勤怠承認者選択,select_attendance_approver,Chọn người phê duyệt tổng kết điểm danh,MOTO Portal,moto,派遣元ポータル
moto.attendance.select_attendance_approver.assign,assign,Gán người dùng/quyền/đối tượng,割当,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,34,/moto/attendance/approver,Select Attendance Approver,MO-ATT-025,勤怠承認者選択,select_attendance_approver,Chọn người phê duyệt tổng kết điểm danh,MOTO Portal,moto,派遣元ポータル
moto.attendance.confirm_attendance_approver.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,35,/moto/attendance/approver/confirm,Confirm Attendance Approver,MO-ATT-026,勤怠集計承認者の確定,confirm_attendance_approver,Xác nhận trở thành người phê duyệt tổng kết điểm danh,MOTO Portal,moto,派遣元ポータル
moto.attendance.confirm_attendance_approver.finalize,finalize,Chốt/xác định dữ liệu,確定,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,36,/moto/attendance/approver/confirm,Confirm Attendance Approver,MO-ATT-026,勤怠集計承認者の確定,confirm_attendance_approver,Xác nhận trở thành người phê duyệt tổng kết điểm danh,MOTO Portal,moto,派遣元ポータル
moto.attendance.special_clause_application_detail.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,37,/moto/attendance/special-clause/:id,Special Clause Application Detail,MO-ATT-027,特別条項適用申請詳細,special_clause_application_detail,Chi tiết yêu cầu điều khoản đặc biệt,MOTO Portal,moto,派遣元ポータル
moto.attendance.special_clause_application_approval.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,38,/moto/attendance/special-clause/:id/approve,Special Clause Application Approval,MO-ATT-028,特別条項適用申請承認,special_clause_application_approval,Approve/reject attendance.,MOTO Portal,moto,派遣元ポータル
moto.attendance.special_clause_application_approval.submit,submit,Submit/gửi workflow,提出,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,39,/moto/attendance/special-clause/:id/approve,Special Clause Application Approval,MO-ATT-028,特別条項適用申請承認,special_clause_application_approval,Approve/reject attendance.,MOTO Portal,moto,派遣元ポータル
moto.attendance.special_clause_application_approval.approve,approve,Phê duyệt,承認,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,40,/moto/attendance/special-clause/:id/approve,Special Clause Application Approval,MO-ATT-028,特別条項適用申請承認,special_clause_application_approval,Approve/reject attendance.,MOTO Portal,moto,派遣元ポータル
moto.attendance.special_clause_application_approval.reject,reject,Từ chối/trả lại,却下/差戻し,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,41,/moto/attendance/special-clause/:id/approve,Special Clause Application Approval,MO-ATT-028,特別条項適用申請承認,special_clause_application_approval,Approve/reject attendance.,MOTO Portal,moto,派遣元ポータル
moto.common.change_password.edit,edit,Chỉnh sửa dữ liệu,修正,SELF_ONLY/ALL,Common,common,47,/moto/change-password,Change Password,MO-AUTH-003,パスワード変更,change_password,Đổi password user hiện tại.,MOTO Portal,moto,派遣元ポータル
moto.common.password_reset.reset,reset,Reset/khởi tạo lại,初期化,SELF_ONLY/ALL,Common,common,49,/moto/password-reset,Password Reset,MO-AUTH-004,パスワード初期化,password_reset,Admin reset password cho user/staff.,MOTO Portal,moto,派遣元ポータル
moto.common.account_unlock.unlock,unlock,Mở khóa account/dữ liệu,ロック解除,SELF_ONLY/ALL,Common,common,52,/moto/account-unlock,Account Unlock,MO-AUTH-005,ロック解除,account_unlock,Unlock account bị lock do login fail.,MOTO Portal,moto,派遣元ポータル
moto.common.login_history.view,view,Thực hiện process/batch,参照,SELF_ONLY/ALL,Common,common,54,/moto/login-history,Login History,MO-AUTH-006,ログイン履歴,login_history,Xem lịch sử login/logout user.,MOTO Portal,moto,派遣元ポータル
moto.batch.file_import_result.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH,Batch Processing,batch,57,/moto/batch/import-results,File Import Result,MO-BAT-002,ファイル取込結果,file_import_result,Xem kết quả import file hàng loạt.,MOTO Portal,moto,派遣元ポータル
moto.batch.validation_error_list.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH,Batch Processing,batch,61,/moto/batch/validation-errors,Validation Error List,MO-BAT-003,検証エラー一覧,validation_error_list,Danh sách validation errors sau upload/import.,MOTO Portal,moto,派遣元ポータル
moto.batch.async_job_status.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH,Batch Processing,batch,65,/moto/batch/jobs,Async Job Status,MO-BAT-004,非同期処理状況,async_job_status,Theo dõi async jobs/background processing.,MOTO Portal,moto,派遣元ポータル
moto.batch.csv_error_download.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH,Batch Processing,batch,67,/moto/batch/error-csv,CSV Error Download,MO-BAT-005,エラーCSV DL,csv_error_download,Download CSV chứa error records.,MOTO Portal,moto,派遣元ポータル
moto.batch.csv_error_download.export,export,Export CSV/Excel,エクスポート,ALL/BRANCH,Batch Processing,batch,69,/moto/batch/error-csv,CSV Error Download,MO-BAT-005,エラーCSV DL,csv_error_download,Download CSV chứa error records.,MOTO Portal,moto,派遣元ポータル
moto.billing.invoice_list.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Billing Management,billing,71,/moto/billing,Invoice List,MO-BILL-001,請求一覧,invoice_list,Danh sách invoice,MOTO Portal,moto,派遣元ポータル
moto.billing.invoice_detail.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Billing Management,billing,72,/moto/billing/:id,Invoice Detail,MO-BILL-002,請求詳細,invoice_detail,Xem chi tiết invoice,MOTO Portal,moto,派遣元ポータル
moto.billing.create_invoice.create,create,Tạo mới dữ liệu,作成,ALL/BRANCH/ASSIGNED_ONLY,Billing Management,billing,74,/moto/billing/create,Create Invoice,MO-BILL-003,請求書作成,create_invoice,"Generate invoice từ attendance
Generaste Invoice từ Tính toán
Create manual invoice",MOTO Portal,moto,派遣元ポータル
moto.billing.submit_invoice.submit,submit,Submit/gửi workflow,提出,ALL/BRANCH/ASSIGNED_ONLY,Billing Management,billing,76,/moto/billing/:id/submit,Submit Invoice,MO-BILL-004,請求書提出,submit_invoice,Submit invoice cho SAKI,MOTO Portal,moto,派遣元ポータル
moto.billing.billing_default_setting.edit,edit,Chỉnh sửa dữ liệu,修正,ALL/BRANCH/ASSIGNED_ONLY,Billing Management,billing,78,/moto/billing/default-settings,Billing Default Setting,MO-BILL-010,請求書初期値設定,billing_default_setting,Thiết lập default value cho invoice generation.,MOTO Portal,moto,派遣元ポータル
moto.billing.invoice_finalize.submit,submit,Submit/gửi workflow,提出,ALL/BRANCH/ASSIGNED_ONLY,Billing Management,billing,80,/moto/billing/:id/finalize,Invoice Finalize,MO-BILL-020,請求書確定,invoice_finalize,Finalize invoice trước khi submit cho SAKI.,MOTO Portal,moto,派遣元ポータル
moto.billing.invoice_finalize.finalize,finalize,Chốt/xác định dữ liệu,確定,ALL/BRANCH/ASSIGNED_ONLY,Billing Management,billing,81,/moto/billing/:id/finalize,Invoice Finalize,MO-BILL-020,請求書確定,invoice_finalize,Finalize invoice trước khi submit cho SAKI.,MOTO Portal,moto,派遣元ポータル
moto.billing.invoice_attendance_reference.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Billing Management,billing,82,/moto/billing/:id/attendance,Invoice Attendance Reference,MO-BILL-022,請求明細勤怠参照,invoice_attendance_reference,Xem attendance linked với invoice detail.,MOTO Portal,moto,派遣元ポータル
moto.common.tenant_init_setup.edit,edit,Chỉnh sửa dữ liệu,修正,SELF_ONLY/ALL,Common,common,84,,Tenant Init Setup,MO-COM-000,派遣元テナント初期設定,tenant_init_setup,,MOTO Portal,moto,派遣元ポータル
moto.common.user_operation_log.view,view,Xem màn hình/dữ liệu,参照,SELF_ONLY/ALL,Common,common,85,/moto/audit-log,User Operation Log,MO-COM-007,操作履歴,user_operation_log,Xem audit log thao tác user trên hệ thống.,MOTO Portal,moto,派遣元ポータル
moto.contract.contract_list.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Contract Management,contract,86,/moto/contracts,Contract List,MO-CON-001,契約一覧,contract_list,Danh sách contract,MOTO Portal,moto,派遣元ポータル
moto.contract.contract_detail.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Contract Management,contract,87,/moto/contracts/:id,Contract Detail,MO-CON-002,契約詳細,contract_detail,Xem chi tiết contract,MOTO Portal,moto,派遣元ポータル
moto.contract.create_contract.create,create,Tạo mới dữ liệu,作成,ALL/BRANCH/ASSIGNED_ONLY,Contract Management,contract,89,/moto/contracts/create,Create Contract,MO-CON-003,契約作成,create_contract,Tạo contract mới,MOTO Portal,moto,派遣元ポータル
moto.contract.create_contract_from_request.create,create,Tạo mới dữ liệu,作成,ALL/BRANCH/ASSIGNED_ONLY,Contract Management,contract,91,/moto/contracts/create-from-request/:id,Create Contract From Request,MO-CON-004,派遣照会から契約作成,create_contract_from_request,Tạo contract từ staffing request,MOTO Portal,moto,派遣元ポータル
moto.contract.draft_contract_list.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Contract Management,contract,92,/moto/contracts/drafts,Draft Contract List,MO-CON-005,作成中契約一覧,draft_contract_list,Danh sách contract draft,MOTO Portal,moto,派遣元ポータル
moto.contract.contract_extension.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Contract Management,contract,93,/moto/contracts/:id/extend,Contract Extension,MO-CON-006,契約延長,contract_extension,Gia hạn contract,MOTO Portal,moto,派遣元ポータル
moto.contract.contract_end.cancel,cancel,Hủy nghiệp vụ,取消,ALL/BRANCH/ASSIGNED_ONLY,Contract Management,contract,95,/moto/contracts/:id/end,Contract End,MO-CON-007,契約終了,contract_end,Kết thúc contract,MOTO Portal,moto,派遣元ポータル
moto.contract.contract_upload.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Contract Management,contract,96,/moto/contracts/upload,Contract Upload,MO-CON-008,契約アップロード,contract_upload,Upload contract hàng loạt,MOTO Portal,moto,派遣元ポータル
moto.contract.contract_upload.upload,upload,Upload file,アップロード,ALL/BRANCH/ASSIGNED_ONLY,Contract Management,contract,97,/moto/contracts/upload,Contract Upload,MO-CON-008,契約アップロード,contract_upload,Upload contract hàng loạt,MOTO Portal,moto,派遣元ポータル
moto.contract.contract_upload.import,import,Import dữ liệu,インポート,ALL/BRANCH/ASSIGNED_ONLY,Contract Management,contract,98,/moto/contracts/upload,Contract Upload,MO-CON-008,契約アップロード,contract_upload,Upload contract hàng loạt,MOTO Portal,moto,派遣元ポータル
moto.contract.contract_document_download.download,download,Download file/PDF,ダウンロード,ALL/BRANCH/ASSIGNED_ONLY,Contract Management,contract,100,/moto/contracts/documents/download,Contract Document Download,MO-CON-009,契約帳票DL,contract_document_download,Bulk PDF/ZIP DL,MOTO Portal,moto,派遣元ポータル
moto.contract.contract_edit.edit,edit,Chỉnh sửa dữ liệu,修正,ALL/BRANCH/ASSIGNED_ONLY,Contract Management,contract,102,/moto/contracts/:id/edit,Contract Edit,MO-CON-010,契約編集,contract_edit,Edit hợp đồng,MOTO Portal,moto,派遣元ポータル
moto.contract.draft_contract_restore.create,create,Tạo mới dữ liệu,作成,ALL/BRANCH/ASSIGNED_ONLY,Contract Management,contract,104,/moto/contracts/drafts,Draft Contract Restore,MO-CON-020,一時保存契約から作成,draft_contract_restore,Khôi phục contract draft đã lưu và tiếp tục tạo contract.,MOTO Portal,moto,派遣元ポータル
moto.contract.draft_contract_restore.restore,restore,Khôi phục dữ liệu,復帰,ALL/BRANCH/ASSIGNED_ONLY,Contract Management,contract,105,/moto/contracts/drafts,Draft Contract Restore,MO-CON-020,一時保存契約から作成,draft_contract_restore,Khôi phục contract draft đã lưu và tiếp tục tạo contract.,MOTO Portal,moto,派遣元ポータル
moto.contract.contract_extension_upload.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Contract Management,contract,106,/moto/contracts/extensions/upload,Contract Extension Upload,MO-CON-021,アップロードで延長する,contract_extension_upload,Upload file để bulk extend contracts.,MOTO Portal,moto,派遣元ポータル
moto.contract.contract_extension_upload.upload,upload,Upload file,アップロード,ALL/BRANCH/ASSIGNED_ONLY,Contract Management,contract,107,/moto/contracts/extensions/upload,Contract Extension Upload,MO-CON-021,アップロードで延長する,contract_extension_upload,Upload file để bulk extend contracts.,MOTO Portal,moto,派遣元ポータル
moto.contract.contract_extension_upload.import,import,Import dữ liệu,インポート,ALL/BRANCH/ASSIGNED_ONLY,Contract Management,contract,108,/moto/contracts/extensions/upload,Contract Extension Upload,MO-CON-021,アップロードで延長する,contract_extension_upload,Upload file để bulk extend contracts.,MOTO Portal,moto,派遣元ポータル
moto.contract.contract_revision_upload.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Contract Management,contract,109,/moto/contracts/revisions/upload,Contract Revision Upload,MO-CON-022,アップロードで修正する,contract_revision_upload,Upload file để bulk revise contracts.,MOTO Portal,moto,派遣元ポータル
moto.contract.contract_revision_upload.edit,edit,Chỉnh sửa dữ liệu,修正,ALL/BRANCH/ASSIGNED_ONLY,Contract Management,contract,110,/moto/contracts/revisions/upload,Contract Revision Upload,MO-CON-022,アップロードで修正する,contract_revision_upload,Upload file để bulk revise contracts.,MOTO Portal,moto,派遣元ポータル
moto.contract.contract_revision_upload.upload,upload,Upload file,アップロード,ALL/BRANCH/ASSIGNED_ONLY,Contract Management,contract,111,/moto/contracts/revisions/upload,Contract Revision Upload,MO-CON-022,アップロードで修正する,contract_revision_upload,Upload file để bulk revise contracts.,MOTO Portal,moto,派遣元ポータル
moto.contract.sales_pic.delete,delete,Xóa dữ liệu,削除,ALL/BRANCH/ASSIGNED_ONLY,Contract Management,contract,114,/moto/contracts/sales-pic/delete,Sales PIC Delete,MO-CON-023,営業担当者削除,sales_pic,"Xóa sales PIC khỏi contract/client mapping.
Chuỷen màn hình sang modal",MOTO Portal,moto,派遣元ポータル
moto.contract.sales_pic.assign,assign,Gán người dùng/quyền/đối tượng,割当,ALL/BRANCH/ASSIGNED_ONLY,Contract Management,contract,115,/moto/contracts/sales-pic/delete,Sales PIC Delete,MO-CON-023,営業担当者削除,sales_pic,"Xóa sales PIC khỏi contract/client mapping.
Chuỷen màn hình sang modal",MOTO Portal,moto,派遣元ポータル
moto.contract.unsubmitted_contract_list.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Contract Management,contract,116,/moto/contracts/unsubmitted,Unsubmitted Contract List,MO-CON-024,未提出契約一覧,unsubmitted_contract_list,Danh sách contract chưa submit hoặc pending submit.,MOTO Portal,moto,派遣元ポータル
moto.settings.additional_onboarding_procedure.view,view,Xem màn hình/dữ liệu,参照,ALL,Settings,settings,117,/moto/onboarding/procedure,Additional Onboarding Procedure,MO-OTH-020,追加導入手続き,additional_onboarding_procedure,Thực hiện thủ tục onboarding/additional setup.,MOTO Portal,moto,派遣元ポータル
moto.settings.additional_onboarding_procedure.create,create,Tạo mới dữ liệu,作成,ALL,Settings,settings,118,/moto/onboarding/procedure,Additional Onboarding Procedure,MO-OTH-020,追加導入手続き,additional_onboarding_procedure,Thực hiện thủ tục onboarding/additional setup.,MOTO Portal,moto,派遣元ポータル
moto.settings.onboarding_preparation_status.view,view,Xem màn hình/dữ liệu,参照,ALL,Settings,settings,119,/moto/onboarding/status,Onboarding Preparation Status,MO-OTH-021,導入準備状況,onboarding_preparation_status,Dashboard trạng thái onboarding/setup.,MOTO Portal,moto,派遣元ポータル
moto.billing.usage_billing_list.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,SaaS usage billing,billing,120,/moto/system-billing/export,Usage Billing List,MO-OTH-022,利用料金一覧,usage_billing_list,Danh sách dung lượng sử dụng,MOTO Portal,moto,派遣元ポータル
moto.billing.usage_billing_list.export,export,Export CSV/Excel,エクスポート,ALL/BRANCH/ASSIGNED_ONLY,SaaS usage billing,billing,121,/moto/system-billing/export,Usage Billing List,MO-OTH-022,利用料金一覧,usage_billing_list,Danh sách dung lượng sử dụng,MOTO Portal,moto,派遣元ポータル
moto.request.request_list.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Request Management,request,122,/moto/requests,Request List,MO-REQ-001,派遣照会一覧,request_list,"Danh sách staffing request từ SAKI, hỗ trợ search/filter/export/detail",MOTO Portal,moto,派遣元ポータル
moto.request.request_list.export,export,Export CSV/Excel,エクスポート,ALL/BRANCH/ASSIGNED_ONLY,Request Management,request,123,/moto/requests,Request List,MO-REQ-001,派遣照会一覧,request_list,"Danh sách staffing request từ SAKI, hỗ trợ search/filter/export/detail",MOTO Portal,moto,派遣元ポータル
moto.request.request_detail.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Request Management,request,124,/moto/requests/:id,Request Detail,MO-REQ-002,派遣照会詳細,request_detail,Xem chi tiết staffing request và requirement,MOTO Portal,moto,派遣元ポータル
